accession,gene_name,condition,condition_label,mean_abundance,cv_pct,log2fc,detected,hcp_risk,abundance_rank
G3I1B9,XIRP2,control,Control (Standard),427103.62503333326,0.86,,3,High,22
G3ILU4,I79_024866,control,Control (Standard),59067.62171666667,1.68,,3,Medium,48
G3HQ92,RPL19,control,Control (Standard),4554.529705,4.08,,3,Low,192
G3I6B1,CENPQ,control,Control (Standard),38069.09431333333,2.47,,3,Medium,70
G3IC35,DYH7,control,Control (Standard),331296.4780333334,3.02,,3,Medium,12
G3H1P4,EXD2,control,Control (Standard),812500.7112000001,2.97,,3,Medium,6
G3HN81,PPIASE,control,Control (Standard),3686.6199298666666,12.64,,3,Low,187
G3H2P9,RALYL,control,Control (Standard),22402.329237666665,3.19,,3,Medium,147
G3HQI4,I79_013086,control,Control (Standard),2135845.536366667,11.03,,3,High,5
G3HG83,CCT3,control,Control (Standard),257208.90003333334,3.93,,3,Medium,14
G3ILH1,I79_024737,control,Control (Standard),428211.6719333334,2.56,,3,High,17
G3HE30,I79_008801,control,Control (Standard),16296.708104,1.59,,3,Medium,177
G3I5X6,UNKNOWN,control,Control (Standard),36404.70897666667,4.05,,3,Medium,67
G3IIG4,UNKNOWN,control,Control (Standard),5100.679791,13.84,,3,Low,213
G3ILJ8,UNKNOWN,control,Control (Standard),76529.51639,1.28,,3,Medium,69
G3GVU0,UNKNOWN,control,Control (Standard),17598.263967,7.92,,3,Low,109
G3IMU3,UNKNOWN,control,Control (Standard),27087.78277666667,21.21,,3,Medium,84
G3H2Q7,UNKNOWN,control,Control (Standard),503202.5377666666,1.9,,3,High,18
G3HTC3,CRYBB1,control,Control (Standard),10923.009346,8.44,,3,Low,131
G3HR96,BLMH,control,Control (Standard),44533.14936666667,5.54,,3,High,33
G3GYH8,MAPK8IP1,control,Control (Standard),21075.846048000003,11.05,,3,High,40
G3I2E4,UNKNOWN,control,Control (Standard),875599.0578333334,3.7,,3,High,8
G3HVV8,UNKNOWN,control,Control (Standard),40316.09140666667,1.49,,3,Medium,75
G3GYI3,UNKNOWN,control,Control (Standard),631822.4310333333,2.53,,3,High,10
G3GXX4,UNKNOWN,control,Control (Standard),110244.30490333332,1.98,,3,Medium,26
G3H060,DUSP26,control,Control (Standard),38814.84713,17.97,,3,Medium,101
G3HAQ9,ERGIC3,control,Control (Standard),12087.684039333333,5.45,,3,Low,125
G3HZ70,UNKNOWN,control,Control (Standard),1411106.2470000002,15.75,,3,Medium,4
G3HG49,UNKNOWN,control,Control (Standard),51983.548743333326,5.57,,3,Medium,42
G3HLB3,UNKNOWN,control,Control (Standard),16847.92308,5.21,,3,Medium,87
G3INJ0,LOC100769459,control,Control (Standard),84233.34886000001,5.71,,3,Medium,57
G3IP44,LOC100752003,control,Control (Standard),71833.24536333334,2.9,,3,Medium,53
G3H6K5,UNKNOWN,control,Control (Standard),42641.720923333334,8.26,,3,Medium,74
G3IED1,UNKNOWN,control,Control (Standard),9889.511894000001,3.1,,3,Low,153
G3IMW2,ITPRIPL2,control,Control (Standard),209618.22925333332,3.58,,3,Medium,21
G3H3J9,UNKNOWN,control,Control (Standard),98230.82823999999,4.02,,3,High,16
G3HZT3,UNKNOWN,control,Control (Standard),30349.822374333333,11.0,,3,Medium,50
G3HXS9,UNKNOWN,control,Control (Standard),18122.442853666667,17.72,,3,Medium,173
G3IAF5,UNKNOWN,control,Control (Standard),369155.4322,2.96,,3,Medium,19
G3HSA2,MYBBP1A,control,Control (Standard),24457.796499999997,1.58,,3,High,36
G3HAA5,MYPN,control,Control (Standard),204289.34903666665,3.61,,3,Medium,23
G3IKK5,UNKNOWN,control,Control (Standard),28399.98746,4.06,,3,High,38
G3H7F5,TRMO,control,Control (Standard),3584813.316333333,2.55,,3,Medium,2
G3IBS6,OPRL1,control,Control (Standard),146257.35745333333,3.56,,3,Medium,31
G3GVK4,NCOR1,control,Control (Standard),69672.65107,5.64,,3,Medium,43
G3IC87,UNKNOWN,control,Control (Standard),18703.984085666667,3.86,,3,Medium,86
G3IE17,LOC100754058,control,Control (Standard),16257.48544166667,2.42,,3,Medium,55
G3HXI5,PPWD1,control,Control (Standard),116641.08028666668,17.28,,3,Medium,51
G3HCR2,UNKNOWN,control,Control (Standard),50090.06545666666,3.39,,3,Medium,39
G3GVR2,UNKNOWN,control,Control (Standard),3839.2266130000003,1.9,,3,Medium,172
G3HS45,UNKNOWN,control,Control (Standard),9570.439010333333,14.65,,3,Low,156
G3HAA4,UNKNOWN,control,Control (Standard),2677.5442736333334,34.78,,3,Medium,203
G3HC46,FAM189B,control,Control (Standard),50812.37918333333,4.6,,3,Medium,61
G3HWQ6,UNKNOWN,control,Control (Standard),196994.4174433333,3.16,,3,Medium,25
G3H4X2,UNKNOWN,control,Control (Standard),332958.95746666664,3.82,,3,Medium,20
