uniprot_accession,description,taxid,species,database,database_version,search_engine,best_score,score_ms_run1,num_psms,num_peptides_distinct,num_peptides_unique,ambiguity_members,modifications,protein_coverage,is_decoy,opt_global_num_merge_proteins,opt_global_duplicated_proteins_search_engines,opt_global_duplicated_proteins_best_search_engines_score,opt_global_duplicated_proteins_search_engines_scores,opt_global_duplicated_proteins_had_quantification,gene_name,protein_name,organism,hcp_risk,total_psms,unique_peptides,avg_charge,avg_mass_error_ppm,min_peptide_len,max_peptide_len,avg_peptide_len,spectral_abundance_pct,abundance_rank
P23843,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,24,23,0,,,0.0,0,1,,,,0,oppA,Periplasmic oligopeptide-binding protein OppA,Escherichia coli (strain K12),Medium,24,19,2.6666666666666665,1.2981666666666665,9,30,18.708333333333332,10.909,1
P0A6Y8,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,22,22,0,,,0.0,0,1,,,,0,dnaK,Chaperone protein DnaK,Escherichia coli (strain K12),High,22,17,2.409090909090909,1.7696772727272725,8,27,15.954545454545455,10.0,2
P23847,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,20,19,0,,,0.0,0,1,,,,0,dppA,Dipeptide-binding protein,Escherichia coli (strain K12),Medium,20,14,2.5,1.083057142857143,9,34,18.45,9.091,3
P00634,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,12,12,0,,,0.0,0,1,,,,0,phoA,Alkaline phosphatase,Escherichia coli (strain K12),High,12,12,2.4166666666666665,1.114509090909091,10,29,17.666666666666668,5.455,4
P0A855,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,12,12,0,,,0.0,0,1,,,,0,tolB,Tol-Pal system protein TolB,Escherichia coli (strain K12),Medium,12,10,2.3333333333333335,1.1194916666666666,10,29,15.75,5.455,4
P0ABT2,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,11,11,0,,,0.0,0,1,,,,0,dps,DNA protection during starvation protein,Escherichia coli (strain K12),Medium,11,10,2.272727272727273,1.2817181818181818,8,19,12.727272727272727,5.0,6
P0A6F5,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,9,9,0,,,0.0,0,1,,,,0,groEL,Chaperonin GroEL,Escherichia coli (strain K12),High,9,8,2.2222222222222223,1.4191749999999999,10,25,15.222222222222221,4.091,7
P69441,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,7,7,0,,,0.0,0,1,,,,0,adk,Adenylate kinase,Escherichia coli (strain K12),Medium,7,7,2.2857142857142856,1.4655285714285713,10,17,12.428571428571429,3.182,8
P0AE08,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,7,7,0,,,0.0,0,1,,,,0,ahpC,Alkyl hydroperoxide reductase C,Escherichia coli (strain K12),Medium,7,6,2.2857142857142856,1.4161000000000001,10,23,15.857142857142858,3.182,8
P26281,,,,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,6,6,0,,,0.0,0,1,,,,0,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,Escherichia coli (strain K12),Medium,6,4,2.8333333333333335,1.2328800000000002,18,34,24.166666666666668,2.727,10
