accession,description,gene_name,unique_peptides,control_1,control_2,control_3,lowDO_1,lowDO_2,lowDO_3,lowTEMP_1,lowTEMP_2,lowTEMP_3,low_TEMP_DO_1,low_TEMP_DO_2,low_TEMP_DO_3,antibody_mass_da,protein_mass_da,control_1 ppm,control_2 ppm,control_3 ppm,lowDO_1 ppm,lowDO_2 ppm,lowDO_3 ppm,lowTEMP_1 ppm,lowTEMP_2 ppm,lowTEMP_3 ppm,low_TEMP_DO_1 ppm,low_TEMP_DO_2 ppm,low_TEMP_DO_3 ppm,species,gene_name_lower,control_mean,control_std,control_cv_pct,control_detected,control_mean_ppm,lowDO_mean,lowDO_std,lowDO_cv_pct,lowDO_detected,lowDO_mean_ppm,lowTEMP_mean,lowTEMP_std,lowTEMP_cv_pct,lowTEMP_detected,lowTEMP_mean_ppm,low_TEMP_DO_mean,low_TEMP_DO_std,low_TEMP_DO_cv_pct,low_TEMP_DO_detected,low_TEMP_DO_mean_ppm,overall_mean_abundance,abundance_rank,lowDO_log2fc,lowDO_responsive,lowTEMP_log2fc,lowTEMP_responsive,low_TEMP_DO_log2fc,low_TEMP_DO_responsive,num_conditions_responsive,hcp_risk
G3I1B9,Xin actin-binding repeat-containing protein 2 OS=Cricetulus griseus OX=10029 GN=I79_017172 PE=3 SV=1,XIRP2,4,427575.32039999997,423203.6923,430531.8624,140277.85407,133246.90564,152663.33819,103058.4976,99485.00946,111056.20363999999,137121.06697,148853.13367,176923.34567,149980.536284,363590,6.166937809127887,6.040523488663076,6.145120836047722,2.4941587983939955,2.1639458443035955,2.6130076673890077,1.7072905322073608,1.6414989489292462,1.916760692171468,2.289972161328542,2.47587818423851,3.101597976589935,Cricetulus griseus,xirp2,427103.62503333326,3686.786085852358,0.86,3,6.1175,142062.6993,9830.499357279119,6.92,3,2.4237,104533.2369,5924.886133086422,5.67,3,1.7552,154299.18210333335,20452.382014860217,13.26,3,2.6225,206999.68583416665,22,-1.5881,True,-2.0306,True,-1.4688,True,3,High
G3ILU4,Uncharacterized protein (Fragment) OS=Cricetulus griseus OX=10029 GN=I79_024866 PE=4 SV=1,I79_024866,3,59319.65276,57975.978480000005,59907.233909999995,35051.968103,37681.512758,48790.072199999995,43966.22339,47297.241500000004,54774.73509,42881.22846,43512.90114,51392.84757,149980.536284,11524,26.993812041775573,26.108498538990226,26.978206664571335,19.663285070353933,19.30750987134425,26.3479039014054,22.980076370788062,24.62223410247783,29.82730653296317,22.594457477749387,22.83484204160838,28.42573633923966,Cricetulus griseus,i79_024866,59067.62171666667,989.9881913835525,1.68,3,26.6935,40507.85102033333,7292.120200932584,18.0,3,21.7729,48679.39999333333,5535.22834829597,11.37,3,25.8099,45928.99239,4742.366251637911,10.33,3,24.6183,48545.96628008333,48,-0.5442,False,-0.2791,False,-0.363,False,0,Medium
G3HQ92,60S ribosomal protein L19 OS=Cricetulus griseus OX=10029 GN=I79_012988 PE=4 SV=1,RPL19,2,4493.645161,4406.799076,4763.144878,11136.955642,10517.434099999999,12605.074641,4853.269063,4527.684192000001,5319.4433659999995,4334.715942,4827.688779,5680.394823,149980.536284,12385,1.9027057632788977,1.8465637182894135,1.9958819008953732,5.813228529221526,5.014353808263198,6.333842653849535,2.3603364505232434,2.1931837004142087,2.6953004250486776,2.125213573360632,2.357363069551712,2.923444163285342,Cricetulus griseus,rpl19,4554.529705,185.8111364378403,4.08,3,1.9151,11419.821461,1072.1802837096002,9.39,3,5.7205,4900.132207,397.9544736555473,8.12,3,2.4163,4947.599847999999,680.8060744763482,13.76,3,2.4687,6455.520805249999,192,1.326,True,0.1055,False,0.1194,False,1,Low
G3I6B1,Centromere protein Q OS=Cricetulus griseus OX=10029 GN=I79_019023 PE=4 SV=1,CENPQ,2,37452.24733,37603.246979999996,39151.788629999995,21714.810691,20365.240594,24030.57548,28147.89301,26519.505019,29638.027560000002,27388.8523,29812.331504,36547.4147,149980.536284,30648,6.408326236729997,6.367372649366649,6.629587818015766,4.5803727879269225,3.9236349263272965,4.879551342053878,5.531963522196925,5.19108533638195,6.068539174266489,5.426373009865801,5.882704374287314,7.600931410282436,Cricetulus griseus,cenpq,38069.09431333333,940.6755344335015,2.47,3,6.4684,22036.875588333332,1853.7702946165978,8.41,3,4.4612,28101.80852966667,1559.7719526190272,5.55,3,5.5972,31249.532834666665,4745.416426123842,15.19,3,6.3033,29864.327816499997,70,-0.7887,False,-0.4379,False,-0.2848,False,0,Medium
G3IC35,"Dynein heavy chain 7, axonemal OS=Cricetulus griseus OX=10029 GN=I79_021223 PE=4 SV=1",DYH7,2,322388.76,329381.2453,342119.4288,308361.1961,301882.62518,339720.04850000003,241978.49690000003,227347.1517,270789.0516,302868.6478,321332.02030000003,398370.60109999997,149980.536284,390811,4.32595484351089,4.373902999810709,4.543055250637994,5.100818373385804,4.561130775491772,5.40968849429372,3.729456540194748,3.4899373594505683,4.3481180176033,4.705713565682573,4.972450251488527,6.497298103629962,Cricetulus griseus,dyh7,331296.4780333334,10003.79478702691,3.02,3,4.4143,316654.62326,20236.18915255267,6.39,3,5.0239,246704.90006666668,22103.253875862098,8.96,3,3.8558,340857.0897333333,50656.46082496496,14.86,3,5.3918,308878.27277333336,12,-0.0652,False,-0.4253,False,0.041,False,0,Medium
G3H1P4,Exonuclease 3'-5' domain-containing protein 2 OS=Cricetulus griseus OX=10029 GN=I79_004054 PE=4 SV=1,EXD2,2,813101.6033000001,788080.9128,836319.6174999999,740385.6418,737574.2265,863241.8654,513562.44149999996,482612.8138,543732.7874,614979.3895,653243.0656000001,823919.5392,149980.536284,56691,75.21415290837118,72.1429256829781,76.5588190661216,84.42883320752847,76.82327197968381,94.76244036737596,54.565066915270314,51.07161886807729,60.187791166401794,65.86950383902801,69.68573928962682,92.63667867960298,Cricetulus griseus,exd2,812500.7112000001,24124.965518531415,2.97,3,74.6386,780400.5778999999,71756.42967700186,9.19,3,85.3382,513302.68090000004,30560.814777966236,5.95,3,55.2748,697380.6647666667,111243.39209280071,15.95,3,76.064,700896.1586916668,6,-0.0582,False,-0.6626,False,-0.2204,False,0,Medium
G3HN81,Peptidyl-prolyl cis-trans isomerase OS=Cricetulus griseus OX=10029 GN=H671_2g7078 PE=3 SV=1,PPIASE,2,4161.675031,3667.667042,3230.5177166,9128.780642000002,7741.582377,10107.062097,6467.203493999999,6445.681963,7446.423009,5573.219771,6506.88007,8888.485634,149980.536284,16672,1.3090291938519092,1.1416665072788723,1.005591248054528,3.5397450823654313,2.7418470418345424,3.772724496369667,2.3364924387759256,2.3194022013599955,2.8028315866638254,2.029814807641729,2.360306062787984,3.398226830958334,Cricetulus griseus,ppiase,3686.6199298666666,465.8678943745962,12.64,3,1.1521,8992.475038666666,1188.6159975189078,13.22,3,3.3514,6786.436155333334,571.6666680275891,8.42,3,2.4862,6989.528491666667,1709.520125589716,24.46,3,2.5961,6613.764903883333,187,1.2862,True,0.8802,False,0.9227,False,1,Low
G3H2P9,RNA-binding Raly-like protein OS=Cricetulus griseus OX=10029 GN=I79_004469 PE=4 SV=1,RALYL,2,22792.260271,22836.14486,21578.582582,5245.074653,4779.888205,6733.488746,4522.12019,3432.61714,5820.860298,2364.673796,2903.991938,4745.987579,149980.536284,10990,10.875733879397949,10.783559929479491,10.189720720935174,3.085324861576963,2.5681550026275355,3.812942936382598,2.4784488682186576,1.8737971228929948,3.3237357244824475,1.3065062609763092,1.5980153079986665,2.7525878984798178,Cricetulus griseus,ralyl,22402.329237666665,713.7229005919866,3.19,3,10.6163,5586.150534666666,1020.4843635450244,18.27,3,3.1555,4591.865876,1195.6482304466315,26.04,3,2.5587,3338.2177709999996,1248.6304052079822,37.4,3,1.8857,8979.640854833333,147,-2.0035,True,-2.2862,True,-2.7461,True,3,Medium
G3HQI4,Round spermatid basic protein 1 OS=Cricetulus griseus OX=10029 GN=I79_013086 PE=4 SV=1,I79_013086,2,2369397.0222,2139807.847,1898331.7399,453659.77187,484229.23479,284027.44411,269923.13524,297520.09713999997,177573.40742,448551.05727999995,388484.98698000005,197990.29675,149980.536284,133368,93.16548922610593,83.26456101632557,73.86820232841731,21.990016176248815,21.438803957682172,13.253376234313405,12.19057038505948,13.38318748855047,8.355323915351724,20.42199639073889,17.61594002259307,9.462470954762267,Cricetulus griseus,i79_013086,2135845.536366667,235557.63620876518,11.03,3,83.4328,407305.48359,107850.49503515803,26.48,3,18.8941,248338.87993333334,62818.88371782813,25.3,3,11.3097,345008.7803366667,130815.93590772251,37.92,3,15.8335,784124.6700566668,5,-2.3906,True,-3.1044,True,-2.6301,True,3,High
G3HG83,T-complex protein 1 subunit gamma OS=Cricetulus griseus OX=10029 GN=I79_009604 PE=3 SV=1,CCT3,2,254832.79150000002,248494.31420000002,268299.5944,185629.95888,195799.13738,229986.89812,264022.4595,272532.18916,313773.1091,335909.65280000004,362255.9729,450773.9961,149980.536284,60620,22.044905863143068,21.273433178516804,22.96895006095701,19.796073322221574,19.071990759654817,23.61049125723764,26.233757243974694,26.970982438053007,32.48155335888707,33.64685688500625,36.13955862513714,47.397475874533086,Cricetulus griseus,cct3,257208.90003333334,10114.183099576674,3.93,3,22.0958,203805.33146000002,23237.015135774935,11.4,3,20.8262,283442.58592,26609.384660321608,9.39,3,28.5621,382979.87393333326,60171.12593233242,15.71,3,39.0613,281859.17283666664,14,-0.3357,False,0.1401,False,0.5743,False,0,Medium
